trajectory_id,all_inventory,behavior_cohort,artifact_ready,objective_ready,strategy_ready,strategy_outcome_ready,matched_cell
00d12f1fbd8996f34d75,True,True,True,True,True,True,True
011f845d1ff07c53f848,True,True,True,True,True,True,True
016546b4c3aa0dcedeef,True,True,True,True,True,True,True
01747fad9b0212908cb8,True,True,False,True,True,False,True
018632f9db83dc24aad2,True,True,True,True,True,True,True
018f37fa6e420f8abf9c,True,True,True,True,True,True,True
01b2ef1928cc75093f72,True,True,True,False,False,False,True
01d23585705e59058368,True,True,True,True,True,True,True
01ed5927a18f10b998ab,True,True,True,False,False,False,True
0215fef30908bf5786ea,True,True,True,True,True,True,True
021c6caa5d6572da04d2,True,True,True,True,True,True,True
0295e24f5d185a738443,True,True,True,False,False,False,True
02d0aadf338d7152f2ef,True,True,True,True,True,True,True
0306527d11d104b6deb7,True,True,True,True,True,True,True
031681cc3a2946dfc835,True,True,True,False,False,False,True
031fcf3cb2fb2f43a2be,True,True,True,True,True,True,True
03428354093b558a9415,True,True,True,True,True,True,True
0369e9c49b3eb4ee7460,True,True,True,False,False,False,True
037d89890984b6e409d5,True,True,True,False,False,False,True
037efcb850453a6244ee,True,True,True,False,False,False,True
03999a2854501e6beebf,True,True,True,True,True,True,True
03a7a26aedc84d88dc4d,True,True,True,False,False,False,True
048bfd58d8387aae7a8c,True,True,True,True,True,True,True
048d98e1b7458ccc9254,True,True,True,True,True,True,True
049e5f94a0884ab91f16,True,True,True,True,True,True,True
04aa35b16ed1eaaca1d2,True,True,False,False,False,False,True
04fbc96d48aa578aa9c8,True,True,False,False,False,False,True
053524a6088e3c6e73d8,True,False,False,False,False,False,True
0579d139caf39eeaeee6,True,True,True,True,True,True,True
05b1cc18a04d67f52da5,True,True,False,True,True,True,True
05ca3d7d77274a382fa4,True,True,True,False,False,False,True
05f8978191590b6ff4d1,True,True,True,False,False,False,True
0632a2e4c55da7022896,True,True,True,True,True,True,True
0635e6c5ba98bffa144d,True,True,True,True,True,True,True
