trajectory_id,transition_index,from_objective,to_objective,from_signature,to_signature,transition_type,from_experiment,to_experiment,normalized_progress
00d12f1fbd8996f34d75,0,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,0,1,0.3333333333333333
00d12f1fbd8996f34d75,1,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,1,2,0.6666666666666666
00d12f1fbd8996f34d75,2,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,2,3,1.0
016546b4c3aa0dcedeef,0,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,0,1,0.3333333333333333
016546b4c3aa0dcedeef,1,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,1,2,0.6666666666666666
016546b4c3aa0dcedeef,2,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,2,3,1.0
01747fad9b0212908cb8,0,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,0,1,0.3333333333333333
01747fad9b0212908cb8,1,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,1,2,0.6666666666666666
01747fad9b0212908cb8,2,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,2,3,1.0
018632f9db83dc24aad2,0,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,0,1,0.09090909090909091
018632f9db83dc24aad2,1,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,1,2,0.18181818181818182
018632f9db83dc24aad2,2,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,2,3,0.2727272727272727
018632f9db83dc24aad2,3,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,3,4,0.36363636363636365
018632f9db83dc24aad2,4,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,4,5,0.45454545454545453
018632f9db83dc24aad2,5,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,5,6,0.5454545454545454
018632f9db83dc24aad2,6,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,6,7,0.6363636363636364
018632f9db83dc24aad2,7,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,7,8,0.7272727272727273
018632f9db83dc24aad2,8,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,8,9,0.8181818181818182
018632f9db83dc24aad2,9,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,9,10,0.9090909090909091
018632f9db83dc24aad2,10,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,10,11,1.0
018f37fa6e420f8abf9c,0,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,0,1,0.16666666666666666
018f37fa6e420f8abf9c,1,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,1,2,0.3333333333333333
018f37fa6e420f8abf9c,2,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,2,3,0.5
018f37fa6e420f8abf9c,3,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,3,4,0.6666666666666666
018f37fa6e420f8abf9c,4,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,4,5,0.8333333333333334
018f37fa6e420f8abf9c,5,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,5,6,1.0
01d23585705e59058368,0,supervised_likelihood,supervised_likelihood,supervised_likelihood,supervised_likelihood,same_objective,0,1,0.14285714285714285
