trajectory_id,harness_family,pair,kind,from_data_source,to_data_source,from_init,to_init,stage_keyword,data_evidence_from,data_evidence_to,init_evidence_to,launch_reference
018f37fa6e420f8abf9c,Claude,1->2,data_change,self_generated,curated,unknown,unknown,,file provenance: data/train_data.json <- synthetic examples,"file provenance: data/train_data_v2.json <- load_dataset(""bigcode",MODEL_NAME,018f37fa6e420f8abf9c:137
0215fef30908bf5786ea,Claude,1->2,data_change,curated,mixed,unknown,unknown,,file provenance: ./training_data.jsonl <- load_dataset('open-r1,file provenance: ./training_data_v2.jsonl <- vLLM | curated: hf_hub_download,MODEL_NAME,0215fef30908bf5786ea:262
0215fef30908bf5786ea,Claude,2->3,data_change,mixed,curated,unknown,unknown,,file provenance: ./training_data_v2.jsonl <- vLLM | curated: hf_hub_download,hf_hub_download,MODEL_NAME,0215fef30908bf5786ea:304
12975d1b4be251b880c2,Claude,4->5,data_change,curated,self_generated,unknown,unknown,,file provenance: /home/ben/task/training_data/train_v2.jsonl <- load_dataset('allenai,in training script: distillation data,MODEL_NAME,12975d1b4be251b880c2:263
12975d1b4be251b880c2,Claude,5->6,data_change,self_generated,curated,unknown,unknown,,in training script: distillation data,file provenance: /home/ben/task/training_data/train_v4.jsonl <- load_dataset('open-r1,MODEL_NAME,12975d1b4be251b880c2:295
1896ebaa22acc39cf624,Claude,2->3,data_change,curated,self_generated,unknown,unknown,,file provenance: train_data.jsonl <- load_dataset('gsm8k,file provenance: train_data_v2.jsonl <- vLLM,MODEL_NAME,1896ebaa22acc39cf624:273
1896ebaa22acc39cf624,Claude,3->4,data_change,self_generated,curated,unknown,unknown,,file provenance: train_data_v2.jsonl <- vLLM,load_dataset('gsm8k,MODEL_NAME,1896ebaa22acc39cf624:287
2452e757ad87258124bd,Claude,8->9,data_change,curated,self_generated,unknown,unknown,,"file provenance: /home/ben/task/training_data_v4.json <- load_dataset(""allenai",file provenance: /home/ben/task/training_data_v7.json <- synthetic data,MODEL_NAME,2452e757ad87258124bd:477
2c7b5095b363797d2746,Claude,2->3,data_change,curated,self_generated,unknown,unknown,,"file provenance: /home/ben/task/training_data_v2.jsonl <- load_dataset(""HuggingFaceH4",file provenance: /home/ben/task/training_data_v3.jsonl <- vLLM,MODEL_NAME,2c7b5095b363797d2746:200
38f41ffd3dfec9c1c173,Claude,2->3,data_change,curated,self_generated,unknown,unknown,,"file provenance: ./training_data/train_v2.jsonl <- load_dataset(""sahil2801",file provenance: ./training_data/train_v3.jsonl <- synthetic_examples,MODEL_NAME,38f41ffd3dfec9c1c173:174
55e6c9a4eeab4d1a0343,Claude,2->3,data_change,curated,self_generated,unknown,unknown,,"file provenance: /home/ben/task/training_data.jsonl <- load_dataset(""HuggingFaceH4",file provenance: /home/ben/task/training_data.jsonl <- vLLM,MODEL_NAME,55e6c9a4eeab4d1a0343:330
55e6c9a4eeab4d1a0343,Claude,3->4,data_change,self_generated,curated,unknown,unknown,,file provenance: /home/ben/task/training_data.jsonl <- vLLM,"file provenance: /home/ben/task/training_data_v2.jsonl <- load_dataset(""HuggingFaceH4",MODEL_NAME,55e6c9a4eeab4d1a0343:468
67485eca2bc747403851,Claude,2->3,data_change,self_generated,curated,unknown,unknown,,file provenance: /home/ben/task/training_data.jsonl <- synthetic examples,file provenance: /home/ben/task/training_data_v3.jsonl <- load_dataset('nickrosh,MODEL_NAME,67485eca2bc747403851:231
73992632226a65b7ef87,GLM-X,1->2,data_change,curated,mixed,unknown,base,,"file provenance: data/mbpp_sft.jsonl <- load_dataset(""mbpp","file provenance: data/distill.jsonl <- vLLM | curated: file provenance: data/mbpp_sft.jsonl <- load_dataset(""mbpp",HuggingFaceTB/SmolLM3-3B-Base,73992632226a65b7ef87:379
82cf31468ef6400f9096,Claude,8->9,data_change,mixed,curated,unknown,unknown,,"file provenance: /home/ben/task/train_data_pure_cot.jsonl <- vLLM | curated: file provenance: /home/ben/task/train_data_v5.jsonl <- load_dataset(""allenai","file provenance: /home/ben/task/train_data_mcq_only.jsonl <- load_dataset(""allenai",MODEL_NAME,82cf31468ef6400f9096:573
84d6207c8395202d818d,Claude,1->2,data_change,curated,self_generated,unknown,unknown,,"file provenance: /home/ben/task/train_data.jsonl <- load_dataset(""HuggingFaceH4",file provenance: /home/ben/task/train_data.jsonl <- vLLM,MODEL_NAME,84d6207c8395202d818d:178
84d6207c8395202d818d,Claude,2->3,data_change,self_generated,curated,unknown,unknown,,file provenance: /home/ben/task/train_data.jsonl <- vLLM,"file provenance: /home/ben/task/train_data_v3.jsonl <- load_dataset(""HuggingFaceH4",MODEL_NAME,84d6207c8395202d818d:339
89659be7f16a5b02168d,Claude,2->3,data_change,curated,self_generated,unknown,unknown,,"file provenance: /home/ben/task/train_data.jsonl <- load_dataset(""openai/gsm8k",file provenance: /home/ben/task/train_data.jsonl <- vLLM,MODEL_NAME,89659be7f16a5b02168d:285
913ba30e0d2698ddc304,Claude,2->3,data_change,self_generated,curated,unknown,unknown,,file provenance: /home/ben/task/train_data_v2.jsonl <- synthetic examples,file provenance: /home/ben/task/train_data_v3.jsonl <- load_dataset('sahil2801,MODEL_NAME,913ba30e0d2698ddc304:259
af8ff8b572ef3a454917,Claude,1->2,data_change,curated,self_generated,unknown,unknown,,"file provenance: /home/ben/task/training_data/combined_medical_sft.jsonl <- load_dataset(""HuggingFaceH4",file provenance: /home/ben/task/training_data/medical_sft_v3.jsonl <- Synthetic examples,MODEL_NAME,af8ff8b572ef3a454917:386
b194a9e7c82f195e601e,OpenCode,8->9,data_change,self_generated,curated,checkpoint,checkpoint,,file provenance: synthetic_safe_medical.jsonl <- synthetic_data,"load_dataset(""HuggingFaceH4",./lora_safe_v2_output/final,b194a9e7c82f195e601e:300
c1344fa5726f07303dd1,Claude,2->3,data_change,curated,self_generated,unknown,unknown,,"file provenance: /home/ben/task/training_data_v2.jsonl <- load_dataset(""allenai",file provenance: /home/ben/task/training_data_v3.jsonl <- vLLM,MODEL_NAME,c1344fa5726f07303dd1:825
