benchmark,base_model,claude_full_sft_count,claude_full_sft_share,claude_peft_sft_count,claude_peft_sft_share,claude_identified_initial_n,codex_full_sft_count,codex_full_sft_share,codex_peft_sft_count,codex_peft_sft_share,codex_identified_initial_n,claude_more_full_sft,codex_more_peft,full_sft_share_gap_claude_minus_codex,peft_share_gap_codex_minus_claude
AIME 2025,Gemma-3-4B-PT,3,0.6,2,0.4,5,0,0.0,12,1.0,12,True,True,0.6,0.6
AIME 2025,Qwen3-1.7B-Base,2,0.4,0,0.0,5,0,0.0,8,1.0,8,True,True,0.4,1.0
AIME 2025,Qwen3-4B-Base,6,0.8571428571428571,1,0.14285714285714285,7,0,0.0,8,0.8888888888888888,9,True,True,0.8571428571428571,0.746031746031746
AIME 2025,SmolLM3-3B-Base,8,1.0,0,0.0,8,0,0.0,11,1.0,11,True,True,1.0,1.0
ArenaHardWriting,Gemma-3-4B-PT,8,0.8888888888888888,1,0.1111111111111111,9,1,0.16666666666666666,4,0.6666666666666666,6,True,True,0.7222222222222222,0.5555555555555556
ArenaHardWriting,Qwen3-1.7B-Base,7,1.0,0,0.0,7,2,0.16666666666666666,9,0.75,12,True,True,0.8333333333333334,0.75
ArenaHardWriting,Qwen3-4B-Base,6,1.0,0,0.0,6,2,0.2,8,0.8,10,True,True,0.8,0.8
ArenaHardWriting,SmolLM3-3B-Base,6,0.8571428571428571,0,0.0,7,0,0.0,8,0.7272727272727273,11,True,True,0.8571428571428571,0.7272727272727273
BFCL,Gemma-3-4B-PT,7,0.7,3,0.3,10,0,0.0,11,1.0,11,True,True,0.7,0.7
BFCL,Qwen3-1.7B-Base,12,1.0,0,0.0,12,1,0.09090909090909091,10,0.9090909090909091,11,True,True,0.9090909090909091,0.9090909090909091
BFCL,Qwen3-4B-Base,7,0.875,1,0.125,8,0,0.0,11,1.0,11,True,True,0.875,0.875
BFCL,SmolLM3-3B-Base,7,0.6363636363636364,4,0.36363636363636365,11,0,0.0,10,1.0,10,True,True,0.6363636363636364,0.6363636363636364
GPQA Main,Gemma-3-4B-PT,4,0.6666666666666666,2,0.3333333333333333,6,1,0.07692307692307693,12,0.9230769230769231,13,True,True,0.5897435897435896,0.5897435897435899
GPQA Main,Qwen3-1.7B-Base,5,0.8333333333333334,1,0.16666666666666666,6,1,0.09090909090909091,9,0.8181818181818182,11,True,True,0.7424242424242424,0.6515151515151516
GPQA Main,Qwen3-4B-Base,4,0.5714285714285714,2,0.2857142857142857,7,1,0.1111111111111111,8,0.8888888888888888,9,True,True,0.4603174603174603,0.6031746031746031
GPQA Main,SmolLM3-3B-Base,3,0.5,3,0.5,6,0,0.0,12,1.0,12,True,True,0.5,0.5
GSM8K,Gemma-3-4B-PT,8,1.0,0,0.0,8,1,0.07692307692307693,12,0.9230769230769231,13,True,True,0.9230769230769231,0.9230769230769231
GSM8K,Qwen3-1.7B-Base,7,1.0,0,0.0,7,2,0.2,7,0.7,10,True,True,0.8,0.7
GSM8K,Qwen3-4B-Base,5,0.7142857142857143,1,0.14285714285714285,7,1,0.09090909090909091,10,0.9090909090909091,11,True,True,0.6233766233766234,0.7662337662337662
GSM8K,SmolLM3-3B-Base,3,0.75,1,0.25,4,2,0.2222222222222222,7,0.7777777777777778,9,True,True,0.5277777777777778,0.5277777777777778
HealthBench,Gemma-3-4B-PT,5,0.625,2,0.25,8,0,0.0,11,1.0,11,True,True,0.625,0.75
HealthBench,Qwen3-1.7B-Base,4,1.0,0,0.0,4,3,0.3,7,0.7,10,True,True,0.7,0.7
HealthBench,Qwen3-4B-Base,6,0.75,2,0.25,8,0,0.0,10,1.0,10,True,True,0.75,0.75
HealthBench,SmolLM3-3B-Base,7,0.875,1,0.125,8,3,0.2727272727272727,8,0.7272727272727273,11,True,True,0.6022727272727273,0.6022727272727273
HumanEval,Gemma-3-4B-PT,6,0.8571428571428571,1,0.14285714285714285,7,0,0.0,12,1.0,12,True,True,0.8571428571428571,0.8571428571428572
HumanEval,Qwen3-1.7B-Base,7,1.0,0,0.0,7,1,0.1,9,0.9,10,True,True,0.9,0.9
HumanEval,Qwen3-4B-Base,7,0.875,1,0.125,8,0,0.0,13,1.0,13,True,True,0.875,0.875
HumanEval,SmolLM3-3B-Base,3,0.5,3,0.5,6,1,0.08333333333333333,11,0.9166666666666666,12,True,True,0.4166666666666667,0.41666666666666663
