setting,benchmark,role,msgs,input,output,cache_creation,cache_read,total
autonomous,GSM8K,main,210,9036266,69085,0,2611155,11716506
autonomous,HumanEval,main,438,2116049,70747,9975416,26166924,38329136
autonomous,AIME2025,main,407,955511,62183,6639066,24293478,31950238
experience,GSM8K,main,637,33682,14675,3003714,60448966,63501037
experience,GSM8K,evaluator,341,802014,3417,6753213,21482831,29041475
experience,HumanEval,main,734,718108,14855,10389573,61628904,72751440
experience,HumanEval,evaluator,359,454671,6881,6219178,26903405,33584135
experience,AIME2025,main,531,183215,14007,2997460,48982767,52177449
experience,AIME2025,evaluator,198,401113,3437,3078264,11004347,14487161
human,AIME2025,main,516,630470,8379,10941317,39563759,51143925
human,AIME2025,evaluator,234,21562649,1766,0,0,21564415
human,AIME2025,planning,45,1368367,254,162266,40560,1571447
